"SPP","logSL","logMass","LogGape","logProtrusion","logAdductor_mandibulae","logSternohyoides","logLevator_posterior","logJaw_closing_lever_ratio","log_Jaw_opening_lever_ratio","logJaw_KT","logHyoid_KT"
"Bolbometopon_muricatum_F337",2.675595056,3.772329043,1.449478399,0.550228353,1.748063925,1.15703345,1.493890039,-0.283996656,-0.677780705,-0.244125144,0.527629901
"Calotomus_carolinusF317",2.361727836,2.669688708,1.266466895,0.079181246,0.106190897,0.072617477,0.245315216,-0.318758763,-0.823908741,-0.148741651,0.462397998
"Calotomus_spinidensPFC2118",1.835690571,1.049218023,0.711807229,0.041392685,-1.638272164,-1.244125144,-1.168130226,-0.346787486,-0.853871964,-0.060480747,0.593286067
"Cetoscarus_bicolorPFC113",2.555094449,3.291413255,1.332034277,0.28780173,1.285197123,0.755722445,0.921041056,-0.318758763,-0.698970004,-0.26760624,0.544068044
"Chlorurus_bleekeriF123",2.239799818,2.315970345,1.005609445,0.278753601,0.292477594,-0.408935393,-0.224608028,-0.15490196,-0.508638306,-0.193820026,0.589949601
"Chlorurus_microrhinosF307",2.41447195,2.843855423,1.117271296,0.522444234,0.82885316,-0.123205024,0.386195656,-0.26760624,-0.552841969,-0.30980392,0.421603927
"Cryptotomus_roseusF126",1.641,0.239,0.263,-0.875,-2.42,-2.313,-2.076,-0.328827157,-0.809668302,-0.124938737,0.620136055
"Leptoscarus_vaigiensisF151",2.347720217,2.486146997,1.2219356,0.374748346,-0.010550182,0.149219113,0.039414119,-0.259637311,-0.744727495,-0.124938737,0.499687083
"Scarus_altipinnisF129",2.419129308,2.882809041,1.123198075,0.667452953,0.615213335,0.15715444,0.202352068,-0.022276395,-0.468521083,-0.086186148,0.627365857
"Scarus_chameleonF130",2.254548077,2.364738555,1.05422991,0.636487896,-0.073657553,-0.408935393,-0.244887734,-0.075720714,-0.552841969,-0.022276395,0.457881897
"Scarus_flavipectoralisPFC228",2.302547372,2.445759836,1.049218023,0.656098202,-0.009661145,-0.321481621,-0.220908796,-0.031517051,-0.568636236,0.004321374,0.469822016
"Scarus_forsteniF201",2.324282455,2.460897843,0.986771734,0.414973348,0.216165902,-0.387216143,-0.102482871,0.012837225,-0.537602002,-0.026872146,0.635483747
"Scarus_frenatusF288",2.379668034,2.707144188,1.015778756,0.626340367,0.519827994,0.059563418,-0.04735283,-0.013228266,-0.420216403,-0.13076828,0.62838893
"Scarus_ghobbanF204",2.412796429,2.786751422,1.154423973,0.6599162,0.426836454,0.057285644,0.114010162,-0.060480747,-0.431798276,-0.070581074,0.593286067
"Scarus_globicepsF569S448",2.308991029,2.500099192,0.954242509,0.136720567,0.186673867,-0.344861565,-0.346787486,0,-0.468521083,-0.161150909,0.582063363
"Scarus_guacamaiaF224",2.393,2.959,1.159,-0.046,0.617,0.201,0.284,-0.001304842,-0.559090918,-0.11577123,0.670987603
"Scarus_iseriF136",2.276,2.337,0.999,0.195,-0.076,-0.568,-0.464,-0.052566278,-0.716698771,-0.125518182,0.524785449
"Scarus_nigerF248",2.382557322,2.766412847,1.038620162,0.650307523,0.538070787,0.147367108,0.098643726,-0.017728767,-0.468521083,-0.148741651,0.6599162
"Scarus_ovicepsRNF166",2.369772289,2.741545517,1.037426498,0.705863712,0.675686709,0.075546961,-0.082967378,-0.013228266,-0.468521083,-0.096910013,0.656098202
"Scarus_psittacusF137",2.303196057,2.45909079,1.011570444,0.656098202,-0.030118356,-0.437707136,-0.236048174,-0.026872146,-0.494850022,-0.017728767,0.465382851
"Scarus_quoyiF272",2.267875419,2.418798291,1.042575512,0.57634135,0.099680641,-0.140261434,-0.355561411,-0.031517051,-0.552841969,-0.091514981,0.611723308
"Scarus_rivulatusF250",2.347720217,2.622006673,1.025305865,0.705007959,0.37821615,0.01745073,0.034628457,0.017033339,-0.408935393,-0.065501549,0.595496222
"Scarus_rubroviolaceusF211",2.506505032,3.094401245,1.193124598,0.599883072,0.969788537,0.365300749,0.574494268,-0.026872146,-0.508638306,-0.13667714,0.638489257
"Scarus_schlegeliPFC371",2.348304863,2.618152733,1.050379756,0.57634135,0.129689892,-0.175223538,-0.047207557,-0.026872146,-0.508638306,-0.013228266,0.564666064
"Scarus_spinusF305",2.300378065,2.488409689,0.941014244,0.615950052,0.368658712,-0.289036881,-0.36713796,-0.026872146,-0.468521083,-0.161150909,0.557507202
"Scarus_taeniopterusPFC754",2.396,2.731,1.128,0.613,0.26,-0.209,-0.049,-0.072629637,-0.68613278,-0.096367484,0.600428326
"Sparisoma_atomariumF139",1.811,0.849,0.576,-0.436,-1.724,-1.689,-1.695,-0.225483034,-0.744727495,-0.092588639,0.701913211
"Sparisoma_aurofrenatumF140",2.334,2.53,1.16,0.368,0.025,0.099,-0.033,-0.165579296,-0.749579998,-0.159893906,0.559667278
"Sparisoma_chrysopterumF141",2.343,2.504,1.169,0.271,0,-0.027,-0.073,-0.226945307,-0.718966633,-0.116338565,0.589726256
"Sparisoma_radiansF142",1.892,1.149,0.695,-0.204,-1.452,-1.449,-1.346,-0.193820026,-0.701146924,-0.106238238,0.635081436
"Sparisoma_virideF143",2.442,2.923,1.32,0.623,0.609,0.457,0.355,-0.244125144,-0.756961951,-0.278189385,0.653501947
