family,tip_label,image_dir,tree_species,fishbase_query,fishbase_resolved,note
acanthuridae,Acanthurus_achilles,Acanthurus_achilles,Acanthurus_achilles,Acanthurus achilles,,
acanthuridae,Acanthurus_auranticavus,Acanthurus_auranticavus,Acanthurus_auranticavus,Acanthurus auranticavus,,
acanthuridae,Acanthurus_bahianus,Acanthurus_bahianus,Acanthurus_bahianus,Acanthurus bahianus,,
acanthuridae,Acanthurus_bariene,Acanthurus_bariene,Acanthurus_bariene,Acanthurus bariene,,
acanthuridae,Acanthurus_blochii,Acanthurus_blochii,Acanthurus_blochii,Acanthurus blochii,,
acanthuridae,Acanthurus_chirurgus,Acanthurus_chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,,
acanthuridae,Acanthurus_coeruleus,Acanthurus_coeruleus,Acanthurus_coeruleus,Acanthurus coeruleus,,
acanthuridae,Acanthurus_dussumieri,Acanthurus_dussumieri,Acanthurus_dussumieri,Acanthurus dussumieri,,
acanthuridae,Acanthurus_guttatus,Acanthurus_guttatus,Acanthurus_guttatus,Acanthurus guttatus,,
acanthuridae,Acanthurus_japonicus,Acanthurus_japonicus,Acanthurus_japonicus,Acanthurus japonicus,,
acanthuridae,Acanthurus_leucocheilus,Acanthurus_leucocheilus,Acanthurus_leucocheilus,Acanthurus leucocheilus,,
acanthuridae,Acanthurus_leucosternon,Acanthurus_leucosternon,Acanthurus_leucosternon,Acanthurus leucosternon,,
acanthuridae,Acanthurus_lineatus,Acanthurus_lineatus,Acanthurus_lineatus,Acanthurus lineatus,,
acanthuridae,Acanthurus_mata,Acanthurus_mata,Acanthurus_mata,Acanthurus mata,,
acanthuridae,Acanthurus_monroviae,Acanthurus_monroviae,Acanthurus_monroviae,Acanthurus monroviae,,
acanthuridae,Acanthurus_nigricans,Acanthurus_nigricans,Acanthurus_nigricans,Acanthurus nigricans,,
acanthuridae,Acanthurus_nigricauda,Acanthurus_nigricauda,Acanthurus_nigricauda,Acanthurus nigricauda,,
acanthuridae,Acanthurus_nigrofuscus,Acanthurus_nigrofuscus,Acanthurus_nigrofuscus,Acanthurus nigrofuscus,,
